Race,Year,Births
Black or African American,2005,583759
Black or African American,2006,617247
Black or African American,2007,627191
Black or African American,2008,623029
Black or African American,2009,609584
Black or African American,2010,589808
Black or African American,2011,582345
Black or African American,2012,583489
Black or African American,2013,583834
Black or African American,2014,588891
Black or African American,2015,589047
White,2005,2279768
White,2006,2308640
White,2007,2310333
White,2008,2267817
White,2009,2212552
White,2010,2162406
White,2011,2146566
White,2012,2134044
White,2013,2129196
White,2014,2149302
White,2015,2130279
