Race	Race Code	Year	Births
Black or African American	May-54	2005	583759
Black or African American	May-54	2006	617247
Black or African American	May-54	2007	627191
Black or African American	May-54	2008	623029
Black or African American	May-54	2009	609584
Black or African American	May-54	2010	589808
Black or African American	May-54	2011	582345
Black or African American	May-54	2012	583489
Black or African American	May-54	2013	583834
Black or African American	May-54	2014	588891
Black or African American	May-54	2015	589047
White	Mar-06	2005	2279768
White	Mar-06	2006	2308640
White	Mar-06	2007	2310333
White	Mar-06	2008	2267817
White	Mar-06	2009	2212552
White	Mar-06	2010	2162406
White	Mar-06	2011	2146566
White	Mar-06	2012	2134044
White	Mar-06	2013	2129196
White	Mar-06	2014	2149302
White	Mar-06	2015	2130279
